Lat,Long,Date
32.8162586,-80.0357149,9/7/2015 1:00
32.899408,-79.9833987,9/8/2015 0:00
32.8991349,-79.9830975,9/8/2015 1:00
32.89929086,-79.98305037,9/9/2015 0:00
32.8994261,-79.9834613,9/10/2015 0:00
32.8994552,-79.9834972,9/11/2015 0:00
32.8994786,-79.9835387,9/11/2015 1:00
43.4771333,-96.7376358,9/13/2015 0:00
43.5148921,-96.7394578,9/13/2015 1:00
43.5801243,-96.7328053,9/13/2015 2:00
32.8993938,-79.9834443,9/14/2015 0:00
32.899411,-79.9834424,9/14/2015 1:00
32.8162278,-80.0357809,9/15/2015 0:00
32.8995586,-79.9836398,9/15/2015 1:00
32.7824317,-79.9861934,9/15/2015 2:00
32.8996015,-79.9837172,9/16/2015 0:00
32.8995732,-79.9836398,9/17/2015 0:00
32.8995893,-79.9837083,9/18/2015 0:00
32.8996299,-79.9837404,9/18/2015 1:00
32.8996199,-79.9837526,9/19/2015 0:00
32.8162638,-80.0357244,9/20/2015 0:00
33.6383798,-84.4427161,9/20/2015 1:00
47.6162666,-122.3314356,9/21/2015 0:00
47.5865356,-122.4471265,9/22/2015 0:00
47.6162766,-122.3314579,9/22/2015 1:00
47.6162882,-122.3313373,9/23/2015 0:00
47.6162244,-122.331433,9/23/2015 1:00
47.6140178,-122.328201,9/24/2015 0:00
32.8017583,-80.0173123,9/27/2015 0:00
32.8162285,-80.0357578,9/28/2015 0:00
32.8993752,-79.9834122,9/29/2015 0:00
32.7824865,-79.9861208,9/29/2015 1:00
32.8995463,-79.983608,9/30/2015 0:00
32.8994578,-79.9836074,10/1/2015 0:00
32.8995402,-79.9835532,10/1/2015 1:00
32.8995629,-79.9836388,10/2/2015 0:00
32.8162504,-80.0357547,10/4/2015 0:00
32.8162694,-80.0357545,10/4/2015 1:00
32.8162578,-80.035766,10/5/2015 0:00
32.8993033,-79.983423,10/6/2015 0:00
32.8996354,-79.9837433,10/6/2015 1:00
32.8995935,-79.9837146,10/7/2015 0:00
32.8995968,-79.9836822,10/7/2015 1:00
32.8996035,-79.983728,10/7/2015 2:00
32.8994264,-79.9834221,10/8/2015 0:00
32.8995429,-79.9836544,10/9/2015 0:00
32.8162797,-80.0357363,10/9/2015 1:00
32.8162672,-80.0357348,10/10/2015 0:00
32.8162768,-80.0357634,10/11/2015 0:00
32.8994531,-79.9835344,10/13/2015 0:00
32.8995257,-79.9836151,10/13/2015 1:00
32.8994542,-79.9835598,10/14/2015 0:00
32.8994406,-79.9835231,10/15/2015 0:00
32.8163004,-80.0357055,10/16/2015 0:00
32.8993907,-79.983405,10/16/2015 1:00
32.8162285,-80.0357496,10/17/2015 0:00
32.8162633,-80.0357201,10/18/2015 0:00
32.8994142,-79.9834189,10/19/2015 0:00
32.8162526,-80.0357706,10/19/2015 1:00
32.8993651,-79.98329,10/20/2015 0:00
32.8994025,-79.983439,10/21/2015 0:00
32.8146164,-80.016372,10/23/2015 0:00
32.8161767,-80.0355602,10/23/2015 1:00
32.816213,-80.0357635,10/25/2015 0:00
32.816268,-80.0357264,10/25/2015 1:00
32.8996733,-79.9837824,10/27/2015 0:00
32.8996103,-79.9836892,10/28/2015 0:00
32.8994765,-79.9835043,10/29/2015 0:00
32.8994623,-79.9834202,10/30/2015 0:00
32.8994659,-79.9835609,11/2/2015 0:00
32.8994166,-79.983403,11/3/2015 0:00
32.8994762,-79.9835197,11/3/2015 1:00
32.8996596,-79.9837658,11/4/2015 0:00
32.8994042,-79.9834055,11/6/2015 0:00
34.0791047,-81.3749758,11/8/2015 0:00
32.8995045,-79.9836167,11/10/2015 0:00
32.8994527,-79.9834814,11/10/2015 1:00
32.8162432,-80.0357528,11/11/2015 0:00
32.8162458,-80.0357664,11/13/2015 0:00
32.899418,-79.9834828,11/13/2015 1:00
32.8162078,-80.0356461,11/14/2015 0:00
32.8162315,-80.035734,11/14/2015 1:00
36.0067952,-84.2614773,11/16/2015 0:00
36.0068444,-84.2613595,11/17/2015 0:00
36.019138,-84.2406988,11/18/2015 0:00
36.0068305,-84.2613206,11/18/2015 1:00
36.0191876,-84.2406954,11/19/2015 0:00
36.0190241,-84.2407803,11/20/2015 0:00
32.8162431,-80.0357688,11/22/2015 0:00
32.8162464,-80.0356976,11/23/2015 0:00
32.8995642,-79.9836762,11/24/2015 0:00
32.816242,-80.0357146,11/24/2015 1:00
32.7824089,-79.9863285,11/24/2015 2:00
32.8162102,-80.0357808,11/25/2015 0:00
32.8162815,-80.0357478,11/25/2015 1:00
32.8162499,-80.0357377,11/27/2015 0:00
32.7866584,-80.0101322,11/27/2015 1:00
32.8161553,-80.035947,11/28/2015 0:00
32.7911361,-79.9403929,11/28/2015 1:00
32.8162322,-80.0357566,11/29/2015 0:00
35.2252152,-80.8426465,11/29/2015 1:00
35.2252816,-80.8425953,11/30/2015 0:00
33.7578344,-84.3931393,11/30/2015 1:00
33.7573968,-84.396348,11/30/2015 2:00
32.8162776,-80.0357664,12/1/2015 0:00
32.8994329,-79.9834623,12/2/2015 0:00
32.8996504,-79.9837795,12/3/2015 0:00
32.8996061,-79.9837133,12/4/2015 0:00
32.8162511,-80.0356748,12/6/2015 0:00
32.8993987,-79.9834201,12/7/2015 0:00
32.899572,-79.9836993,12/7/2015 1:00
32.8162647,-80.0356883,12/8/2015 0:00
32.8162362,-80.0357381,12/8/2015 1:00
32.8993792,-79.9832175,12/10/2015 0:00
32.899292,-79.9832175,12/11/2015 0:00
32.8162505,-80.0357652,12/12/2015 0:00
32.899292,-79.9832175,12/13/2015 0:00
32.8993792,-79.9832175,12/14/2015 0:00
32.8993792,-79.9832175,12/14/2015 1:00
32.8162505,-80.0357652,12/15/2015 0:00
32.8993792,-79.9832175,12/16/2015 0:00
32.8996477,-79.9833048,12/18/2015 0:00
32.8162776,-80.0357652,12/20/2015 0:00
32.816262,-80.0357138,12/21/2015 0:00
32.899292,-79.9832175,12/22/2015 0:00
32.8996477,-79.9833048,12/23/2015 0:00
32.8162035,-80.0357214,12/24/2015 0:00
32.8162505,-80.0357652,12/25/2015 0:00
43.553285,-96.72795,12/27/2015 0:00
43.553285,-96.72795,12/28/2015 0:00
43.553285,-96.72795,12/29/2015 0:00
43.553285,-96.72795,12/29/2015 1:00
43.553285,-96.72795,12/30/2015 0:00
43.5803905,-96.7329874,12/30/2015 1:00
32.8162505,-80.0357652,1/1/2015 0:00
32.8162505,-80.0357652,1/2/2015 0:00
32.8162035,-80.0357214,1/2/2015 1:00
32.8162505,-80.0357652,1/3/2015 0:00
32.8993792,-79.9832175,1/4/2016 0:00
32.8856297,-80.0378176,1/4/2016 1:00
30.4228318,-86.7019964,1/5/2016 0:00
32.8162505,-80.0357652,1/8/2016 0:00
32.8162908,-80.0357214,1/8/2016 1:00
32.8163217,-80.0358195,1/9/2016 0:00
32.8162528,-80.0357617,1/9/2016 1:00
